ano_campeonato,time_mandante,time_visitante,gols_mandante,gols_visitante
2016,Botafogo,Santos,0,1
2016,Flamengo,Cruzeiro,2,1
2016,Flamengo,Santa Cruz,3,0
2016,Flamengo,Corinthians,2,2
2016,Fluminense,Flamengo,1,2
2016,Internacional,Flamengo,2,1
2016,Grêmio,Flamengo,1,0
2016,Grêmio,Coritiba FC,2,0
2016,Grêmio,Ponte Preta,1,0
2016,Grêmio,Cruzeiro,2,0
2016,Grêmio,Santos,3,2
2016,Grêmio,Figueirense FC,2,1
2016,Grêmio,São Paulo,1,0
2016,Grêmio,Santa Cruz,0,0
2016,Grêmio,Corinthians,3,0
2016,Grêmio,Atlético-MG,1,1
2016,Grêmio,Palmeiras,0,0
2016,Grêmio,Chapecoense,1,0
2016,Grêmio,Athletico-PR,1,0
2016,Grêmio,Internacional,0,0
2016,Grêmio,América-MG,3,0
2016,Botafogo,Athletico-PR,2,1
2016,Botafogo,EC Vitória,1,1
2016,Botafogo,América-MG,3,1
2016,Botafogo,Figueirense FC,0,0
2016,Botafogo,Santa Cruz,2,1
2016,Botafogo,Palmeiras,3,1
2016,Botafogo,Grêmio,2,1
2016,Botafogo,Sport Recife,3,0
2016,Botafogo,Fluminense,1,0
2016,Botafogo,Corinthians,2,0
2016,Botafogo,Internacional,1,0
2016,Botafogo,Atlético-MG,3,2
2016,Botafogo,Coritiba FC,0,0
2016,Botafogo,Ponte Preta,1,1
2016,Cruzeiro,EC Vitória,2,2
2016,Cruzeiro,Athletico-PR,0,3
2016,Cruzeiro,Santa Cruz,2,0
2016,Cruzeiro,Botafogo,0,2
2016,Cruzeiro,Grêmio,1,0
2016,Cruzeiro,Ponte Preta,2,0
2016,Cruzeiro,Chapecoense,0,0
2016,Cruzeiro,Santos,2,2
2016,Flamengo,Sport Recife,1,0
2016,Flamengo,EC Vitória,1,0
2016,Flamengo,Fluminense,1,2
2016,Flamengo,Internacional,1,0
2016,Flamengo,Atlético-MG,2,0
2016,Flamengo,América-MG,2,1
2016,Flamengo,Athletico-PR,1,0
2016,Flamengo,Grêmio,2,1
2016,Flamengo,Ponte Preta,2,1
